"Name,Ticker/Code,발행사,자산,전략,세부전략,지역,추적배수,거래대금(백만),시가총액(백만)"
"RISE 글로벌원자력,442320,케이비자산운용,주식,테마,원자력,글로벌,일반,3566.06486,283440.5"
"TIGER 28-04 회사채(A+이상)액티브,0094K0,미래에셋자산운용,채권,회사채,단기,국내,일반,2637.416456,282048.93"
"TIGER K방산&우주,463250,미래에셋자산운용,주식,테마,방산,국내,일반,27401.58325,280160"
"KODEX 고배당주,279530,삼성자산운용,주식,스타일,배당,국내,일반,4296.945515,278949"
"TIGER 글로벌리튬&2차전지SOLACTIVE(합성),394670,미래에셋자산운용,주식,테마,2차전지(배터리),글로벌,일반,1806.857788,278080"
"TIGER 미국테크TOP10채권혼합,472170,미래에셋자산운용,혼합자산,자산배분,채권혼합,글로벌,일반,3211.903868,277830"
"TIGER 토탈월드스탁액티브,0060H0,미래에셋자산운용,주식,시장대표,-,글로벌,일반,4792.768736,277016"
"KODEX 미국30년국채울트라선물(H),304660,삼성자산운용,채권,국공채,장기,미국,일반,1186.657725,275058"
"KODEX 미국달러선물인버스2X,261260,삼성자산운용,통화,미국달러,-,국내,2X 인버스,1294.151883,274393.75"
"ACE 미국나스닥100채권혼합액티브,438100,한국투자신탁운용,혼합자산,자산배분,채권혼합,미국,일반,2721.036658,273384.5"
"TIGER 미국필라델피아반도체레버리지(합성),423920,미래에셋자산운용,주식,섹터,반도체,미국,2X 레버리지,1151.34697,273284"
"KODEX 코스닥150선물인버스,251340,삼성자산운용,주식,시장대표,-,국내,1X 인버스,73099.30985,272568"
"RISE 미국AI밸류체인데일리고정커버드콜,490590,케이비자산운용,주식,주식파생,커버드콜,미국,일반,4919.728224,272517.75"
"SOL 미국AI소프트웨어,481180,신한자산운용,주식,테마,로보틱스 & AI,미국,일반,4422.796085,270470"
"RISE 200TR,361580,케이비자산운용,주식,시장대표,-,국내,일반,1132.259155,269390.25"
"TIGER 미국투자등급회사채액티브(H),458260,미래에셋자산운용,채권,회사채,중기,미국,일반,938.661209,266625"
"SOL 미국원자력SMR,0051G0,신한자산운용,주식,테마,원자력,미국,일반,6546.131521,259692"
"TIGER 글로벌AI전력인프라액티브,491010,미래에셋자산운용,주식,테마,전력인프라,글로벌,일반,4748.027756,259022.25"
"KoAct 바이오헬스케어액티브,462900,삼성액티브자산운용,주식,섹터,헬스케어,국내,일반,8976.919792,254112.5"
"1Q CD금리액티브(합성),491610,하나자산운용,기타,금리,-,국내,일반,307.18727,251768.66"
"TIGER 차이나휴머노이드로봇,0053L0,미래에셋자산운용,주식,테마,로보틱스 & AI,중국,일반,42223.31607,251604"
"KODEX 25-11 회사채(A+이상)액티브,467940,삼성자산운용,채권,회사채,단기,국내,일반,24.97469,250010.5"
"RISE 글로벌자산배분액티브,461490,케이비자산운용,혼합자산,자산배분,EMP,글로벌,일반,10393.86364,249293"
"TIGER 삼성그룹펀더멘털,138520,미래에셋자산운용,주식,스타일,그룹주,국내,일반,923.48553,248228.4"
"KODEX TRF3070,329650,삼성자산운용,혼합자산,자산배분,주식혼합,글로벌,일반,745.407723,246732"
"ACE 26-06 회사채(AA-이상)액티브,461270,한국투자신탁운용,채권,회사채,단기,국내,일반,221.557695,244736.8"
"SOL 금융지주플러스고배당,484880,신한자산운용,주식,스타일,배당,국내,일반,4827.430968,241853.5"
"KODEX 200미국채혼합,284430,삼성자산운용,혼합자산,자산배분,주식혼합,글로벌,일반,3796.538386,241108.4"
"KODEX 코리아밸류업,495850,삼성자산운용,주식,시장대표,-,국내,일반,1234.646823,238048"
"KIWOOM 26-09회사채(AA-이상)액티브,464240,키움투자자산운용,채권,회사채,단기,국내,일반,68.6758,237158.35"
